quarter,search_rate_white,search_rate_black,search_rate_hispanic
2011-02-15,0.012280657527815006,0.029169504476778272,0.0323470208877648
2011-05-15,0.011292664036389536,0.023923033461696087,0.0302051338901892
2011-08-15,0.009786634721602466,0.022383887749145962,0.026091698158795397
2011-11-15,0.010835362250008957,0.024917031293974934,0.027165444560356047
2012-02-15,0.0108496249189356,0.025033808194631992,0.027606329885668274
2012-05-15,0.01015001540711509,0.022131701374105327,0.024085884075836034
2012-08-15,0.009746421521190832,0.023051056590569413,0.02351961093805452
2013-02-15,0.011036753431065046,0.028877736877522125,0.027018343303351993
2013-05-15,0.00992524868419345,0.02381730499700179,0.022844186250056187
2013-08-15,0.009531299294707099,0.022748112764616118,0.024907180946319586
2013-11-15,0.010243400423306032,0.02824867621217922,0.023915347949480883
2014-02-15,0.011106019051359906,0.03185570744838968,0.028880380700603597
2014-05-15,0.010295752263620143,0.028302969903393906,0.02440665367624101
2014-08-15,0.00943964924262994,0.02405681904682211,0.023631532995393324
2014-11-15,0.010007270391567357,0.025408308012780413,0.0242069627013551
2015-02-15,0.011011243647702592,0.02614756158689548,0.023876798681932786
2015-05-15,0.010202681780478319,0.024881983600727617,0.022112490973581582
2015-08-15,0.00959421550862227,0.022778098343335426,0.023110341760543184
2015-11-15,0.010258024451732402,0.027632459613927216,0.025122700279041545
